Post_ID,Post_Date,Post_Time,Post_Time_Slot,Platform,Content_Type,Campaign,Is_Boosted,Has_Link,Hashtags_Count,Video_Duration_Sec,Image_Count,Caption_Length,Production_Cost,Promotion_Budget,Reach,Frequency,Impressions,Likes,Comments,Shares,Saves,Link_Clicks,Followers_Gained
POST_0022,3/24/2025,11:50,Midday,Facebook,Text,Spring Launch,Yes,No,4,0,1,193,51,394,11617,1.47,17050,72,18,23,6,0,8
POST_0023,3/24/2025,21:43,Evening,TikTok,Image,Spring Launch,No,No,3,0,1,169,235,0,462,1.32,607,9,1,2,0,0,0
POST_0024,3/25/2025,14:11,Midday,TikTok,Image,Spring Launch,No,No,7,0,1,183,207,0,18951,1.14,21509,352,51,91,8,0,20
POST_0025,3/25/2025,21:17,Evening,Instagram,Image,Spring Launch,No,No,11,0,1,166,119,0,16286,1.27,20745,907,155,210,109,0,23
POST_0026,3/27/2025,13:44,Midday,Twitter/X,Video,Spring Launch,No,No,4,43,1,127,108,0,10285,1,10285,210,76,93,0,0,10
POST_0027,3/27/2025,17:13,Afternoon,Instagram,Video,Spring Launch,No,No,9,77,1,143,207,0,7156,1.09,7788,183,38,51,23,0,10
POST_0028,3/27/2025,18:10,Afternoon,TikTok,Video,Spring Launch,No,Yes,7,22,1,124,223,0,18584,1.15,21451,1215,200,335,43,674,11
POST_0029,3/27/2025,21:31,Evening,Twitter/X,Carousel,Spring Launch,Yes,No,2,0,5,233,106,352,18042,1.65,29817,215,90,105,0,0,6
POST_0030,3/28/2025,16:17,Afternoon,Twitter/X,Video,Spring Launch,Yes,Yes,1,105,1,102,113,405,32482,1.66,53981,1064,350,499,0,1259,27
POST_0031,3/29/2025,13:45,Midday,TikTok,Video,Spring Launch,No,No,3,26,1,99,204,0,15843,1.11,17507,1729,280,476,46,0,26
POST_0032,4/1/2025,11:00,Midday,Twitter/X,Text,Spring Launch,No,No,1,0,1,270,108,0,3905,1.17,4575,91,33,41,0,0,4
POST_0033,4/4/2025,10:25,Morning,TikTok,Carousel,Spring Launch,No,No,3,0,9,128,206,0,3964,1.02,4060,14,2,3,0,0,44
POST_0034,4/4/2025,16:57,Afternoon,TikTok,Image,Spring Launch,Yes,No,8,0,1,238,174,440,1097,1.21,1330,54,7,14,1,0,48
POST_0035,4/4/2025,16:58,Afternoon,TikTok,Text,Spring Launch,No,No,3,0,1,203,72,0,9665,1.08,10428,320,42,75,10,0,26
POST_0036,4/5/2025,16:08,Afternoon,Twitter/X,Text,Spring Launch,Yes,No,4,0,1,258,65,320,17638,1.85,32686,652,216,253,0,0,1
POST_0037,4/7/2025,14:10,Midday,Twitter/X,Carousel,Spring Launch,No,Yes,4,0,3,210,150,0,13484,1.11,14928,134,51,76,0,395,5
POST_0038,4/7/2025,18:03,Afternoon,Facebook,Video,Spring Launch,No,No,5,125,1,84,326,0,7059,1,7059,126,26,34,10,0,20
POST_0039,4/8/2025,11:18,Midday,Facebook,Image,Spring Launch,No,No,3,0,1,105,66,0,18121,1.02,18404,306,77,102,29,0,6
POST_0040,4/8/2025,18:23,Afternoon,TikTok,Image,Spring Launch,Yes,Yes,7,0,1,192,68,336,54435,1.81,98541,1695,191,358,43,1818,141
POST_0041,4/10/2025,14:41,Midday,Instagram,Image,Spring Launch,Yes,No,13,0,1,149,101,137,29377,1.32,38711,1361,213,267,136,0,15
POST_0042,4/10/2025,22:19,Evening,Instagram,Video,Spring Launch,No,No,13,69,1,125,122,0,16888,1.15,19475,748,138,167,90,0,26
POST_0043,4/11/2025,15:19,Afternoon,Twitter/X,Image,Spring Launch,No,Yes,4,0,1,127,173,0,7954,1.03,8230,94,32,42,0,137,6
POST_0044,4/14/2025,21:42,Evening,TikTok,Video,Spring Launch,No,No,4,60,1,94,225,0,26792,1.18,31548,2268,307,674,59,0,21
POST_0045,4/16/2025,11:48,Midday,Twitter/X,Video,Spring Launch,Yes,No,4,162,1,163,196,379,16485,1.84,30345,505,190,237,0,0,2
POST_0046,4/16/2025,12:15,Midday,Instagram,Carousel,Spring Launch,No,No,14,0,7,227,85,0,14575,1.06,15437,887,146,197,99,0,18
POST_0047,4/16/2025,18:29,Afternoon,Twitter/X,Text,Spring Launch,No,Yes,2,0,1,314,100,0,3904,1.05,4088,77,31,39,0,79,11
POST_0048,4/17/2025,13:11,Midday,Instagram,Image,Spring Launch,No,No,12,0,1,187,101,0,7653,1.18,9015,195,44,44,25,0,7
POST_0049,4/19/2025,13:23,Midday,TikTok,Text,Spring Launch,Yes,Yes,3,0,1,329,61,247,64350,1.42,91117,3261,461,879,105,1323,13
POST_0050,4/19/2025,14:04,Midday,Twitter/X,Carousel,Spring Launch,No,No,3,0,10,265,80,0,6837,1.14,7790,97,36,42,0,0,7
POST_0051,4/21/2025,7:32,Morning,Instagram,Text,Spring Launch,No,No,10,0,1,295,58,0,12734,1.02,13041,147,32,38,19,0,14
POST_0052,4/22/2025,19:32,Evening,Instagram,Carousel,Spring Launch,No,No,7,0,7,281,265,0,5432,1,5432,136,20,28,17,0,22
POST_0053,4/23/2025,16:10,Afternoon,Twitter/X,Image,Spring Launch,Yes,No,4,0,1,231,145,337,28565,1.59,45433,874,316,397,0,0,64
POST_0054,4/24/2025,6:25,Morning,TikTok,Image,Spring Launch,No,Yes,5,0,1,190,110,0,31258,1.36,42396,1146,156,256,30,755,186
POST_0055,4/24/2025,8:28,Morning,TikTok,Video,Spring Launch,Yes,Yes,6,50,1,192,252,461,33234,1.37,45406,2669,400,554,70,1325,107
POST_0056,4/24/2025,10:51,Morning,Twitter/X,Video,Spring Launch,Yes,Yes,4,113,1,80,167,209,135030,1.26,170671,1712,635,918,0,3416,20
POST_0057,4/25/2025,15:24,Afternoon,TikTok,Video,Spring Launch,Yes,No,6,37,1,189,252,419,123584,2.05,253428,24267,3003,5245,737,0,83
POST_0058,4/25/2025,15:30,Afternoon,Twitter/X,Carousel,Spring Launch,No,No,4,0,8,166,210,0,10513,1.06,11124,99,38,45,0,0,4
POST_0059,4/25/2025,21:10,Evening,Twitter/X,Video,Spring Launch,No,No,4,114,1,160,96,0,12991,1,12991,252,92,117,0,0,3
POST_0060,4/26/2025,18:30,Afternoon,TikTok,Video,Spring Launch,Yes,Yes,7,39,1,140,208,100,64687,1.21,78499,7087,1119,1612,233,1775,16
POST_0061,4/27/2025,19:09,Evening,Twitter/X,Carousel,Spring Launch,No,No,3,0,10,232,96,0,5351,1,5351,13,5,6,0,0,3
POST_0062,4/28/2025,7:07,Morning,TikTok,Text,Spring Launch,No,No,4,0,1,222,81,0,7916,1.11,8751,327,39,85,8,0,46
POST_0063,4/28/2025,17:10,Afternoon,Facebook,Carousel,Spring Launch,No,No,2,0,9,127,140,0,7294,1.21,8801,75,22,29,6,0,10
POST_0064,4/28/2025,20:42,Evening,Facebook,Video,Spring Launch,No,No,6,76,1,98,160,0,8055,1.16,9352,169,53,70,15,0,0
POST_0065,4/29/2025,12:31,Midday,Facebook,Text,Spring Launch,No,No,4,0,1,284,75,0,10703,1.04,11168,65,18,23,6,0,2
POST_0066,4/29/2025,14:38,Midday,Twitter/X,Carousel,Spring Launch,No,Yes,4,0,7,209,164,0,4632,1.08,5015,16,6,6,0,99,8
POST_0067,4/30/2025,18:38,Afternoon,Twitter/X,Carousel,Spring Launch,No,Yes,4,0,7,250,221,0,11835,1,11835,144,55,72,0,273,7
POST_0068,4/30/2025,18:50,Afternoon,Twitter/X,Video,Spring Launch,Yes,No,3,170,1,63,172,468,50292,1.49,75117,1082,407,433,0,0,44
POST_0069,4/30/2025,19:21,Evening,Facebook,Video,Spring Launch,Yes,No,6,49,1,177,301,308,21991,1.91,41902,668,194,267,62,0,25
POST_0070,5/1/2025,7:48,Morning,Twitter/X,Video,Spring Launch,No,No,1,98,1,65,221,0,4933,1.16,5703,53,18,22,0,0,7
POST_0071,5/2/2025,18:31,Afternoon,TikTok,Carousel,Spring Launch,No,Yes,5,0,9,236,222,0,34056,1.03,35182,344,56,100,11,822,22
POST_0072,5/3/2025,15:45,Afternoon,TikTok,Video,Spring Launch,No,No,8,48,1,60,355,0,25003,1,25003,2669,356,585,61,0,20
POST_0073,5/3/2025,16:31,Afternoon,Instagram,Carousel,Spring Launch,No,No,14,0,10,230,155,0,9539,1.24,11874,627,96,142,74,0,16
POST_0074,5/4/2025,19:55,Evening,Instagram,Video,Spring Launch,No,Yes,5,47,1,172,135,0,10160,1.27,12923,280,58,61,33,335,13
POST_0075,5/5/2025,11:31,Midday,Facebook,Text,Spring Launch,No,No,5,0,1,425,69,0,21596,1.12,24247,247,51,86,18,0,13
POST_0076,5/5/2025,13:57,Midday,Facebook,Text,Spring Launch,No,No,4,0,1,379,46,0,7113,1,7113,44,12,15,3,0,12
POST_0077,5/6/2025,11:50,Midday,Facebook,Video,Spring Launch,No,No,6,161,1,69,175,0,12223,1,12223,156,37,53,11,0,7
POST_0078,5/6/2025,12:58,Midday,Facebook,Text,Spring Launch,Yes,Yes,3,0,1,206,88,184,27483,1.61,44304,169,43,54,13,843,7
POST_0079,5/6/2025,19:20,Evening,Instagram,Video,Spring Launch,No,Yes,5,52,1,148,269,0,10628,1.2,12717,593,111,150,73,368,18
POST_0080,5/7/2025,12:41,Midday,Facebook,Video,Spring Launch,No,Yes,5,176,1,199,142,0,6070,1,6070,69,19,22,6,163,1
POST_0081,5/8/2025,13:54,Midday,Twitter/X,Video,Spring Launch,Yes,No,4,127,1,180,180,408,89377,1.45,129618,990,358,476,0,0,22
POST_0082,5/8/2025,22:17,Evening,Instagram,Video,Spring Launch,Yes,No,9,38,1,53,251,303,13051,1.93,25202,934,180,221,107,0,22
POST_0083,5/9/2025,21:00,Evening,TikTok,Video,Spring Launch,No,Yes,8,32,1,191,150,0,39397,1.31,51537,3988,568,1230,113,1099,109
POST_0084,5/9/2025,22:23,Evening,Facebook,Image,Spring Launch,No,No,5,0,1,100,127,0,8825,1.2,10571,137,37,49,13,0,18
POST_0085,5/12/2025,22:15,Evening,Instagram,Video,Spring Launch,No,Yes,7,63,1,56,284,0,13690,1.08,14787,530,82,130,70,265,33
POST_0086,5/14/2025,8:38,Morning,TikTok,Video,Spring Launch,Yes,No,8,24,1,64,180,352,36547,1.67,60911,6204,859,1907,204,0,50
POST_0087,5/14/2025,21:26,Evening,Twitter/X,Carousel,Spring Launch,No,Yes,2,0,8,158,166,0,6149,1.15,7042,127,50,56,0,190,5
POST_0088,5/15/2025,7:30,Morning,Twitter/X,Text,Spring Launch,No,No,2,0,1,346,95,0,7044,1.04,7300,144,56,70,0,0,6
POST_0089,5/16/2025,15:11,Afternoon,TikTok,Video,Spring Launch,No,No,7,35,1,174,202,0,23032,1.09,25121,2312,319,587,66,0,36
POST_0090,5/16/2025,17:24,Afternoon,Twitter/X,Image,Spring Launch,Yes,No,3,0,1,225,175,511,36267,1.52,54959,1268,430,542,0,0,50
POST_0091,5/16/2025,20:14,Evening,Twitter/X,Video,Spring Launch,Yes,No,4,148,1,137,111,243,18449,1.82,33515,507,192,249,0,0,8
POST_0092,5/17/2025,10:37,Morning,TikTok,Video,Spring Launch,No,Yes,6,15,1,86,344,0,29198,1.13,32908,3977,673,1039,128,772,29
POST_0093,5/17/2025,12:05,Midday,Twitter/X,Image,Spring Launch,No,No,2,0,1,186,123,0,8005,1.18,9427,105,41,48,0,0,12
POST_0094,5/17/2025,12:16,Midday,Twitter/X,Video,Spring Launch,Yes,No,1,117,1,71,186,579,12741,1.45,18490,387,138,187,0,0,15
POST_0095,5/17/2025,15:18,Afternoon,TikTok,Image,Spring Launch,No,No,6,0,1,193,73,0,20299,1.29,26219,898,109,243,24,0,27
POST_0096,5/18/2025,9:21,Morning,TikTok,Video,Spring Launch,Yes,No,7,59,1,55,297,326,15136,1.41,21390,1811,264,436,51,0,7
POST_0097,5/18/2025,14:09,Midday,TikTok,Image,Spring Launch,No,No,8,0,1,125,158,0,68522,1.21,82912,1870,228,493,50,0,74
POST_0098,5/18/2025,15:53,Afternoon,Instagram,Image,Spring Launch,No,Yes,7,0,1,222,82,0,9135,1.47,13442,530,89,121,70,309,0
POST_0099,5/19/2025,11:49,Midday,Twitter/X,Video,Spring Launch,No,No,1,141,1,172,205,0,10508,1.07,11243,191,73,94,0,0,7
POST_0100,5/19/2025,12:03,Midday,TikTok,Video,Spring Launch,No,Yes,7,45,1,178,148,0,28558,1.25,35661,2220,258,464,65,840,25
POST_0101,5/20/2025,11:10,Midday,Instagram,Image,Spring Launch,No,Yes,8,0,1,153,162,0,13564,1,13564,263,52,63,32,297,16
POST_0102,5/20/2025,17:49,Afternoon,TikTok,Carousel,Spring Launch,Yes,No,7,0,5,152,94,449,8046,2.17,17439,398,56,86,10,0,34
POST_0103,5/21/2025,22:04,Evening,TikTok,Carousel,Spring Launch,No,No,6,0,8,239,125,0,37627,1,37627,1131,164,305,27,0,8
POST_0104,5/22/2025,15:22,Afternoon,TikTok,Image,Spring Launch,No,Yes,8,0,1,87,84,0,23009,1,23009,310,46,68,8,406,36
POST_0105,5/22/2025,17:44,Afternoon,Twitter/X,Carousel,Spring Launch,Yes,Yes,4,0,4,206,221,391,63074,1.27,80217,1168,392,600,0,2777,20
POST_0106,5/22/2025,21:57,Evening,TikTok,Video,Spring Launch,No,No,8,22,1,84,250,0,37398,1.44,53964,7090,1064,1832,194,0,141
POST_0107,5/25/2025,18:31,Afternoon,TikTok,Carousel,Spring Launch,No,Yes,7,0,9,113,144,0,27563,1.51,41729,1367,214,372,40,1235,3
POST_0108,5/26/2025,6:24,Morning,Facebook,Video,Spring Launch,No,Yes,2,57,1,55,129,0,4968,1.1,5462,53,13,18,4,152,10
POST_0109,5/26/2025,12:16,Midday,Twitter/X,Video,Spring Launch,No,No,1,113,1,96,130,0,6930,1.31,9096,208,73,115,0,0,4
POST_0110,5/26/2025,13:17,Midday,Instagram,Video,Spring Launch,No,No,8,25,1,167,336,0,7134,1.26,8953,275,46,52,31,0,12
POST_0111,5/26/2025,20:06,Evening,Facebook,Video,Spring Launch,Yes,Yes,4,51,1,61,156,169,20806,1.38,28744,359,101,121,35,653,8
POST_0112,5/29/2025,16:59,Afternoon,Facebook,Text,Spring Launch,No,No,4,0,1,169,36,0,10437,1,10437,229,50,69,18,0,13
POST_0113,5/29/2025,17:14,Afternoon,Twitter/X,Text,Spring Launch,No,No,3,0,1,215,65,0,7075,1.3,9199,175,56,84,0,0,0
POST_0114,5/29/2025,20:10,Evening,Instagram,Video,Spring Launch,No,Yes,9,62,1,97,184,0,27802,1.04,28903,1346,246,324,153,636,22
POST_0115,5/30/2025,14:10,Midday,Instagram,Carousel,Spring Launch,No,Yes,10,0,5,155,111,0,16832,1.1,18543,894,144,217,112,569,25
POST_0116,5/31/2025,8:53,Morning,Twitter/X,Carousel,Spring Launch,Yes,No,1,0,8,225,81,295,17856,1.5,26705,294,104,143,0,0,3
POST_0117,5/31/2025,13:11,Midday,Facebook,Carousel,Spring Launch,No,No,3,0,6,288,165,0,6598,1.08,7144,120,29,44,9,0,8
POST_0118,6/1/2025,11:20,Midday,Twitter/X,Image,Summer Vibes,No,No,4,0,1,169,163,0,8059,1.18,9524,136,58,59,0,0,7
POST_0119,6/1/2025,19:56,Evening,TikTok,Video,Summer Vibes,No,Yes,7,44,1,52,198,0,23760,1.08,25766,2865,441,758,87,641,26
POST_0120,6/1/2025,20:25,Evening,TikTok,Video,Summer Vibes,Yes,No,8,27,1,166,108,590,100069,1.63,162913,20556,2496,4478,554,0,55
POST_0121,6/2/2025,7:10,Morning,TikTok,Video,Summer Vibes,No,No,4,22,1,126,336,0,26127,1.31,34293,4378,646,1070,110,0,22
POST_0122,6/2/2025,9:20,Morning,Instagram,Image,Summer Vibes,No,Yes,11,0,1,144,79,0,11837,1.14,13480,192,44,44,22,343,11
POST_0123,6/3/2025,8:02,Morning,Instagram,Video,Summer Vibes,No,No,10,26,1,62,116,0,12722,1.16,14776,379,69,89,46,0,19
POST_0124,6/3/2025,14:17,Midday,Twitter/X,Text,Summer Vibes,No,Yes,1,0,1,249,66,0,9363,1,9363,238,97,112,0,180,2
POST_0125,6/3/2025,15:11,Afternoon,Facebook,Text,Summer Vibes,No,No,5,0,1,207,63,0,9860,1.13,11128,138,40,52,12,0,0
POST_0126,6/3/2025,21:00,Evening,Instagram,Video,Summer Vibes,No,Yes,15,18,1,73,171,0,15686,1.28,20075,552,103,129,82,530,10
POST_0127,6/3/2025,22:20,Evening,Facebook,Video,Summer Vibes,No,No,4,114,1,127,108,0,4066,1.02,4147,73,20,25,5,0,8
POST_0128,6/4/2025,11:47,Midday,Facebook,Video,Summer Vibes,No,No,2,31,1,151,96,0,11209,1.12,12532,299,73,105,27,0,11
POST_0129,6/6/2025,9:43,Morning,Twitter/X,Video,Summer Vibes,Yes,No,2,152,1,103,207,443,31287,1.38,43330,265,98,123,0,0,23
POST_0130,6/6/2025,12:43,Midday,TikTok,Carousel,Summer Vibes,No,No,7,0,7,143,132,0,40452,1,40452,2344,341,585,71,0,95
POST_0131,6/9/2025,10:37,Morning,Instagram,Video,Summer Vibes,Yes,Yes,15,16,1,74,140,516,26132,1.47,38423,1008,168,264,144,1219,10
POST_0132,6/10/2025,7:06,Morning,Twitter/X,Image,Summer Vibes,No,No,1,0,1,168,212,0,7109,1,7109,160,48,69,0,0,9
POST_0133,6/10/2025,18:32,Afternoon,Instagram,Video,Summer Vibes,No,No,13,73,1,88,167,0,13238,1.21,16021,747,169,198,92,0,9
POST_0134,6/11/2025,16:48,Afternoon,Twitter/X,Video,Summer Vibes,No,Yes,2,103,1,53,242,0,7041,1.04,7336,131,41,55,0,187,7
POST_0135,6/11/2025,18:30,Afternoon,Instagram,Carousel,Summer Vibes,Yes,No,10,0,5,211,200,294,47997,1.57,75355,3224,615,816,388,0,68
POST_0136,6/13/2025,7:37,Morning,TikTok,Carousel,Summer Vibes,Yes,No,6,0,10,179,156,583,56890,1.42,80670,2793,410,780,77,0,222
POST_0137,6/14/2025,17:38,Afternoon,TikTok,Video,Summer Vibes,No,Yes,5,47,1,74,213,0,18965,1.38,26195,2923,442,770,68,798,32
POST_0138,6/17/2025,21:18,Evening,TikTok,Video,Summer Vibes,No,Yes,6,49,1,108,186,0,34188,1.6,54852,6286,845,2004,219,1433,20
POST_0139,6/20/2025,14:36,Midday,Instagram,Carousel,Summer Vibes,Yes,Yes,6,0,7,213,160,396,36934,1.57,58005,2926,534,654,363,1402,51
POST_0140,6/20/2025,17:50,Afternoon,TikTok,Video,Summer Vibes,No,No,3,53,1,126,131,0,41942,1.36,57247,5997,810,1820,178,0,63
POST_0141,6/20/2025,19:45,Evening,Facebook,Video,Summer Vibes,No,Yes,6,77,1,78,162,0,6198,1,6198,133,31,45,9,148,14
POST_0142,6/22/2025,10:19,Morning,TikTok,Text,Summer Vibes,Yes,No,6,0,1,368,39,393,113418,1.46,165332,590,71,138,17,0,44
POST_0143,6/22/2025,17:26,Afternoon,Twitter/X,Image,Summer Vibes,Yes,Yes,1,0,1,200,91,438,23418,1.7,39872,774,261,362,0,740,11
POST_0144,6/23/2025,7:58,Morning,Facebook,Image,Summer Vibes,No,No,6,0,1,232,177,0,10709,1.01,10813,140,36,45,12,0,6
POST_0145,6/24/2025,11:24,Midday,Facebook,Video,Summer Vibes,No,No,2,74,1,184,232,0,6497,1.06,6879,84,21,31,7,0,7
POST_0146,6/24/2025,11:37,Midday,Twitter/X,Text,Summer Vibes,Yes,No,2,0,1,480,112,314,32852,1.62,53290,1010,450,429,0,0,39
POST_0147,6/24/2025,17:41,Afternoon,TikTok,Video,Summer Vibes,No,No,3,45,1,83,187,0,69853,1.25,86981,8457,1072,2336,237,0,124
POST_0148,6/25/2025,15:40,Afternoon,Twitter/X,Image,Summer Vibes,No,Yes,2,0,1,163,103,0,11510,1.15,13204,336,126,149,0,276,8
POST_0149,6/26/2025,14:33,Midday,TikTok,Image,Summer Vibes,No,No,4,0,1,172,70,0,17595,1.4,24636,1594,232,375,41,0,2
POST_0150,6/27/2025,22:44,Evening,Facebook,Image,Summer Vibes,No,No,6,0,1,114,165,0,11006,1.16,12719,143,41,44,11,0,12
POST_0151,6/28/2025,19:07,Evening,Instagram,Carousel,Summer Vibes,Yes,No,14,0,9,205,89,699,160132,1.69,270570,14216,2983,3232,1833,0,100
POST_0152,7/1/2025,18:04,Afternoon,Instagram,Text,Summer Vibes,No,Yes,13,0,1,444,65,0,17041,1.03,17478,231,45,60,28,288,17
POST_0153,7/2/2025,21:54,Evening,Twitter/X,Text,Summer Vibes,No,No,4,0,1,435,57,0,9033,1.3,11701,150,49,69,0,0,0
POST_0154,7/3/2025,10:37,Morning,Instagram,Carousel,Summer Vibes,Yes,No,5,0,5,166,144,350,35695,1.59,56787,2863,525,673,371,0,55
POST_0155,7/3/2025,13:52,Midday,Twitter/X,Image,Summer Vibes,No,Yes,2,0,1,220,94,0,8222,1,8222,214,73,87,0,183,8
POST_0156,7/3/2025,16:24,Afternoon,Instagram,Carousel,Summer Vibes,No,Yes,6,0,7,297,224,0,9915,1.02,10079,376,61,97,53,295,11
POST_0157,7/3/2025,16:43,Afternoon,TikTok,Video,Summer Vibes,No,No,3,25,1,161,217,0,14177,1,14177,1331,192,345,43,0,2
POST_0158,7/3/2025,22:43,Evening,TikTok,Image,Summer Vibes,Yes,Yes,3,0,1,177,128,429,60723,1.84,111741,2207,268,622,58,1689,71
POST_0159,7/5/2025,18:09,Afternoon,TikTok,Video,Summer Vibes,No,No,8,20,1,153,242,0,9369,1.29,12048,1662,238,441,53,0,1
POST_0160,7/6/2025,16:08,Afternoon,TikTok,Video,Summer Vibes,No,No,5,38,1,92,133,0,24693,1.67,41302,4399,668,1327,133,0,118
POST_0161,7/6/2025,20:54,Evening,Twitter/X,Image,Summer Vibes,No,No,2,0,1,146,128,0,6717,1,6717,145,45,60,0,0,10
POST_0162,7/7/2025,16:58,Afternoon,TikTok,Video,Summer Vibes,No,Yes,6,47,1,58,303,0,31246,1.51,47046,5357,791,1281,133,1217,74
POST_0163,7/7/2025,21:43,Evening,Facebook,Video,Summer Vibes,No,No,4,78,1,132,233,0,61306,1.01,61984,1865,439,649,139,0,41
POST_0164,7/8/2025,9:54,Morning,TikTok,Carousel,Summer Vibes,No,No,4,0,10,216,234,0,30420,1.09,33050,914,161,243,30,0,18
POST_0165,7/8/2025,11:01,Midday,TikTok,Carousel,Summer Vibes,No,No,5,0,7,163,94,0,33664,1,33664,969,142,235,23,0,25
POST_0166,7/8/2025,13:43,Midday,TikTok,Image,Summer Vibes,No,Yes,8,0,1,175,137,0,18728,1.08,20141,933,167,274,32,345,8
POST_0167,7/8/2025,17:12,Afternoon,TikTok,Video,Summer Vibes,No,No,4,55,1,161,181,0,26449,1.32,34960,4002,544,934,128,0,43
POST_0168,7/9/2025,15:57,Afternoon,Facebook,Text,Summer Vibes,No,Yes,5,0,1,326,79,0,4544,1.04,4704,77,22,24,6,69,9
POST_0169,7/11/2025,16:44,Afternoon,Twitter/X,Video,Summer Vibes,No,No,1,95,1,93,109,0,10930,1.03,11270,231,71,107,0,0,14
POST_0170,7/11/2025,18:44,Afternoon,Facebook,Image,Summer Vibes,No,Yes,4,0,1,121,68,0,9050,1.11,10015,189,43,52,14,216,4
POST_0171,7/13/2025,18:46,Afternoon,Instagram,Video,Summer Vibes,No,No,8,56,1,66,262,0,4064,1.08,4397,93,14,19,10,0,0
POST_0172,7/15/2025,21:37,Evening,Twitter/X,Image,Summer Vibes,Yes,Yes,3,0,1,181,130,504,53504,1.45,77751,1619,555,760,0,1307,43
POST_0173,7/17/2025,17:55,Afternoon,Instagram,Image,Summer Vibes,No,Yes,11,0,1,210,92,0,22699,1.22,27589,1152,182,237,158,571,13
POST_0174,7/20/2025,13:49,Midday,Facebook,Video,Summer Vibes,No,No,3,162,1,180,197,0,12643,1.04,13138,101,31,42,9,0,2
POST_0175,7/21/2025,8:08,Morning,Instagram,Image,Summer Vibes,No,No,11,0,1,234,128,0,11763,1.46,17187,487,80,105,55,0,0
POST_0176,7/21/2025,15:32,Afternoon,Twitter/X,Carousel,Summer Vibes,No,Yes,3,0,3,107,78,0,10005,1.13,11299,115,43,55,0,300,4
